iter	Passed	Remaining
0	52	15590
1	54	8142
2	56	5605
3	58	4343
4	60	3584
5	62	3073
6	64	2705
7	66	2438
8	68	2227
9	71	2059
10	73	1919
11	75	1802
12	77	1704
13	79	1618
14	81	1546
15	83	1481
16	85	1424
17	87	1370
18	89	1323
19	91	1277
20	92	1232
21	94	1190
22	95	1153
23	97	1117
24	98	1082
25	99	1049
26	100	1018
27	101	988
28	102	961
29	104	936
30	105	912
31	106	889
32	107	867
33	108	846
34	109	827
35	110	811
36	111	795
37	113	780
38	114	765
39	115	750
40	116	735
41	117	721
42	118	708
43	119	695
44	120	683
45	121	670
46	122	659
47	123	647
48	124	636
49	125	626
50	126	618
51	127	610
52	129	601
53	130	593
54	131	585
55	132	577
56	133	569
57	134	561
58	135	553
59	136	545
60	137	538
61	138	531
62	139	524
63	140	518
64	141	512
65	143	507
66	144	502
67	145	496
68	146	490
69	147	484
70	148	479
71	149	473
72	150	468
73	151	462
74	152	457
75	153	452
76	154	447
77	155	442
78	156	437
79	157	434
80	159	430
81	160	427
82	161	422
83	162	418
84	163	414
85	164	409
86	165	405
87	166	401
88	167	397
89	168	393
90	169	389
91	170	386
92	171	382
93	172	378
94	173	375
95	174	371
96	175	367
97	176	364
98	177	361
99	178	357
100	179	354
101	180	350
102	181	347
103	182	344
104	183	341
105	184	338
106	186	336
107	187	333
108	188	330
109	189	327
110	190	324
111	192	322
112	193	319
113	194	317
114	195	314
115	196	312
116	197	309
117	199	307
118	200	304
119	201	302
120	203	300
121	204	298
122	206	296
123	207	294
124	208	292
125	210	290
126	211	288
127	212	286
128	214	284
129	215	282
130	217	280
131	218	278
132	220	276
133	221	274
134	223	272
135	224	270
136	226	268
137	227	267
138	229	265
139	230	263
140	232	262
141	234	260
142	235	258
143	237	257
144	239	255
145	240	254
146	242	252
147	244	250
148	246	249
149	247	247
150	249	246
151	251	244
152	252	242
153	254	241
154	256	239
155	257	237
156	259	236
157	261	234
158	263	233
159	264	231
160	266	230
161	268	228
162	270	227
163	271	225
164	273	223
165	276	222
166	278	221
167	280	220
168	281	218
169	283	217
170	285	215
171	287	213
172	289	212
173	290	210
174	292	208
175	294	207
176	296	206
177	298	204
178	299	202
179	302	201
180	303	199
181	305	198
182	307	196
183	309	194
184	311	193
185	312	191
186	314	190
187	316	188
188	318	186
189	320	185
190	321	183
191	324	182
192	325	180
193	327	179
194	329	177
195	331	175
196	333	174
197	335	172
198	336	170
199	338	169
200	340	167
201	342	166
202	344	164
203	346	162
204	347	161
205	349	159
206	351	158
207	353	156
208	355	154
209	357	153
210	359	151
211	360	149
212	362	148
213	364	146
214	365	144
215	367	142
216	369	141
217	371	139
218	373	138
219	375	136
220	376	134
221	378	133
222	380	131
223	381	129
224	383	127
225	385	126
226	387	124
227	389	122
228	391	121
229	393	119
230	395	118
231	396	116
232	398	114
233	400	112
234	402	111
235	404	109
236	405	107
237	407	106
238	409	104
239	410	102
240	412	101
241	414	99
242	416	97
243	418	95
244	419	94
245	421	92
246	423	90
247	425	89
248	426	87
249	428	85
250	430	84
251	432	82
252	434	80
253	435	78
254	438	77
255	440	75
256	442	73
257	443	72
258	445	70
259	447	68
260	449	67
261	451	65
262	453	63
263	455	62
264	457	60
265	458	58
266	460	56
267	462	55
268	464	53
269	466	51
270	468	50
271	470	48
272	472	46
273	474	45
274	476	43
275	477	41
276	479	39
277	481	38
278	483	36
279	485	34
280	487	32
281	489	31
282	491	29
283	493	27
284	495	26
285	496	24
286	498	22
287	500	20
288	502	19
289	504	17
290	505	15
291	507	13
292	509	12
293	511	10
294	512	8
295	514	6
296	516	5
297	518	3
298	520	1
299	522	0
