MasVnrType,MiscFeature,MiscVal,MoSold,Neighborhood,OverallCond,OverallQual,PavedDrive,RoofMatl,SaleCondition,SalePrice,SaleType,Street,TotRmsAbvGrd,TotalBsmtSF,WoodDeckSF,YearBuilt,YrSold
BrkFace,None,0,2,CollgCr,5,7,Y,CompShg,Normal,208500.0,WD,Pave,8,856.0,0,2003,2008
None,None,0,5,Veenker,8,6,Y,CompShg,Normal,181500.0,WD,Pave,6,1262.0,298,1976,2007
BrkFace,None,0,9,CollgCr,5,7,Y,CompShg,Normal,223500.0,WD,Pave,6,920.0,0,2001,2008
None,None,0,2,Crawfor,5,7,Y,CompShg,Abnorml,140000.0,WD,Pave,7,756.0,0,1915,2006
BrkFace,None,0,12,NoRidge,5,8,Y,CompShg,Normal,250000.0,WD,Pave,9,1145.0,192,2000,2008
None,Shed,700,10,Mitchel,5,5,Y,CompShg,Normal,143000.0,WD,Pave,5,796.0,40,1993,2009
Stone,None,0,8,Somerst,5,8,Y,CompShg,Normal,307000.0,WD,Pave,7,1686.0,255,2004,2007
Stone,Shed,350,11,NWAmes,6,7,Y,CompShg,Normal,200000.0,WD,Pave,7,1107.0,235,1973,2009
None,None,0,4,OldTown,5,7,Y,CompShg,Abnorml,129900.0,WD,Pave,8,952.0,90,1931,2008
None,None,0,1,BrkSide,6,5,Y,CompShg,Normal,118000.0,WD,Pave,5,991.0,0,1939,2008
None,None,0,2,Sawyer,5,5,Y,CompShg,Normal,129500.0,WD,Pave,5,1040.0,0,1965,2008
Stone,None,0,7,NridgHt,5,9,Y,CompShg,Partial,345000.0,New,Pave,11,1175.0,147,2005,2006
None,None,0,9,Sawyer,6,5,Y,CompShg,Normal,144000.0,WD,Pave,4,912.0,140,1962,2008
Stone,None,0,8,CollgCr,5,7,Y,CompShg,Partial,279500.0,New,Pave,7,1494.0,160,2006,2007
BrkFace,None,0,5,NAmes,5,6,Y,CompShg,Normal,157000.0,WD,Pave,5,1253.0,0,1960,2008
None,None,0,7,BrkSide,8,7,Y,CompShg,Normal,132000.0,WD,Pave,5,832.0,48,1929,2007
BrkFace,Shed,700,3,NAmes,7,6,Y,CompShg,Normal,149000.0,WD,Pave,5,1004.0,0,1970,2010
None,Shed,500,10,Sawyer,5,4,Y,CompShg,Normal,90000.0,WD,Pave,6,0.0,0,1967,2006
None,None,0,6,SawyerW,5,5,Y,CompShg,Normal,159000.0,WD,Pave,6,1114.0,0,2004,2008
None,None,0,5,NAmes,6,5,Y,CompShg,Abnorml,139000.0,COD,Pave,6,1029.0,0,1958,2009
BrkFace,None,0,11,NridgHt,5,8,Y,CompShg,Partial,325300.0,New,Pave,9,1158.0,240,2005,2006
None,None,0,6,IDOTRR,7,7,N,CompShg,Normal,139400.0,WD,Pave,6,637.0,0,1930,2007
BrkFace,None,0,9,CollgCr,5,8,Y,CompShg,Normal,230000.0,WD,Pave,7,1777.0,171,2002,2008
None,None,0,6,MeadowV,7,5,Y,CompShg,Normal,129900.0,WD,Pave,6,1040.0,100,1976,2007
None,None,0,5,Sawyer,8,5,Y,CompShg,Normal,154000.0,WD,Pave,6,1060.0,406,1968,2010
Stone,None,0,7,NridgHt,5,8,Y,CompShg,Normal,256300.0,WD,Pave,7,1566.0,0,2007,2009
None,None,0,5,NAmes,7,5,Y,CompShg,Normal,134800.0,WD,Pave,5,900.0,222,1951,2010
Stone,None,0,5,NridgHt,5,8,Y,CompShg,Normal,306000.0,WD,Pave,7,1704.0,0,2007,2010
None,None,0,12,NAmes,6,5,Y,CompShg,Normal,207500.0,WD,Pave,6,1484.0,288,1957,2006
None,None,0,5,BrkSide,6,4,Y,CompShg,Normal,68500.0,WD,Pave,4,520.0,49,1927,2008
