,SalePrice
0,130849.718591708
1,163627.88447896455
2,177385.90836729258
3,190574.2414035831
4,184687.52645738932
5,173567.03980552315
6,169067.1788956705
7,166195.90993652766
8,193444.53958423954
9,123462.09788160259
10,185128.92155019232
11,93701.476187481
12,94547.4751721417
13,152847.07168971925
14,134249.92502846828
15,384136.5205365124
16,272997.8410925131
17,315907.8169102445
18,295168.67733338947
19,477725.1227469476
20,345082.2683971889
21,197172.95674444464
22,164590.0623762156
23,169217.39439915726
24,184610.4488373555
25,198017.70066980206
26,347789.82457015925
27,239549.26892069515
28,198808.28838732184
29,227858.01597986626
30,201056.0936116845
31,102921.01118617039
32,184133.3800807955
33,304386.73960972455
34,317760.6042212772
35,225500.96367463897
36,186718.30253527852
37,168778.35392864235
38,170350.4499982715
39,154818.05618688904
40,169010.7195629636
41,157362.618770531
42,288377.30801295623
43,227056.10090962026
44,220576.07740027
45,196786.75529197248
46,248533.0201702138
47,208246.48933031523
48,168739.8392215954
49,146624.53290126324
50,148244.3669637707
51,171190.80360205742
52,134477.01533603185
53,149808.62382847894
54,181066.66753068677
55,145750.9304445973
56,166541.96596001307
57,142029.19957843958
58,216777.09803106743
59,141804.21768302325
60,144547.86736381325
61,171216.35756441994
62,114141.06189332054
63,135006.38470213316
64,125211.41517758573
65,117533.60686030432
66,104181.95770302825
67,129799.18277458938
68,146258.69330084993
69,181078.5585746992
70,113799.0133609626
71,100712.29705701384
72,141031.1716830868
73,113654.71603699794
74,143312.4655539895
75,110090.85246849904
76,66065.13227261376
77,158593.31960339338
78,200448.55461256823
79,97698.45136794238
80,140140.92882226437
81,120391.5353613986
82,208122.00767089473
83,82263.49417917462
84,102626.24980090276
85,119222.4243201349
86,122514.14516858265
87,128749.7145875483
88,110199.44434110478
89,126425.02224788952
90,119779.8567385703
91,133962.33673519696
92,145888.75947514037
93,112223.60560854133
94,180158.8356510428
95,104132.19988788468
96,124203.6817006954
97,112119.16779489779
98,61751.224260724295
99,136562.08684571303
100,124892.04195203872
101,129392.40827414548
102,121402.80097290628
103,167428.9744529581
104,148610.94000492722
105,232447.09572408133
106,75458.31889114715
107,233796.16016146133
108,142239.62135011717
109,137009.12558680974
110,136114.8735379816
111,146023.2112201747
112,271641.9589695792
113,107505.92473099254
114,220423.21286153333
115,212912.11721986876
116,180522.69070280925
117,156808.64202860856
118,152273.77486608017
119,197131.04687093565
120,147751.0719485273
121,130079.2185599645
122,316595.68543929764
123,228039.82759812853
124,145184.09385809783
125,67584.5439433092
126,93867.25162520852
127,148859.8668789519
128,90646.68850256478
129,125588.786927698
130,92303.83460851524
131,119476.06940388485
132,130285.4747196937
133,140334.28656420877
134,120847.6243059015
135,237972.6393513374
136,180107.6806355984
137,214699.4416973265
138,188731.43883431057
139,173865.92211125334
140,72636.6131535253
141,110362.80482558513
142,71584.91403286235
143,240047.376999608
144,229904.72986560277
145,165128.03574677106
146,171230.08854921826
147,221101.46657907908
148,194070.8533074216
149,150873.8806062128
150,137058.42421742337
151,160827.16656220274
152,152891.6888555982
153,126102.3976152851
154,89506.841582124
155,77884.60603483403
156,91993.965528744
157,119522.7543020283
158,136942.65520913212
159,141823.1855568578
160,125026.55888697387
161,139563.6737135428
162,237652.20439263497
163,193791.65484153852
164,126124.03977218058
165,165381.57418711143
166,180925.43136976825
167,303589.46687527536
168,176772.48902828377
169,379240.68039228837
170,213871.14120587165
171,259320.6085140564
172,169693.52431443887
173,171777.7233061235
174,178074.91437954357
175,146837.03980096406
176,192186.973782709
177,213653.6376520639
178,192076.31203357864
179,274463.6556911889
180,191032.01436422064
181,237729.54662212176
182,234217.4217465775
183,235527.6382849768
184,196255.74113283312
185,165564.70353424095
186,180163.43405641615
187,133636.12803511342
188,138679.02839567128
189,114298.87398906407
190,118739.9888103276
191,97768.53158475565
192,95354.33175018696
193,146821.5874151668
194,163522.97493529815
195,147998.90230072846
196,144234.6129952354
197,143720.38419453488
198,137993.78293885442
199,155061.1752930367
200,465304.0781566865
201,423626.7207596589
202,404125.09984531434
203,387978.03722920624
204,318691.9225948154
205,341996.21512941405
206,379928.3198952378
207,336284.00603856996
208,313180.7993873641
209,356546.94500047964
210,275042.3057827897
211,444407.2446688611
212,308589.0876286694
213,247035.23112983935
214,170009.68955657998
215,172953.82771575963
216,206435.09169157795
217,450777.9485411474
218,389374.52266460867
219,328192.9110782643
220,233046.92344566048
221,330103.38709697494
222,177383.836840847
223,180854.82832208194
224,175466.10883783692
225,172165.2413282826
226,175416.84882052284
227,186301.16575627562
228,191797.6955373573
229,197750.241497399
230,185873.32472534763
231,284099.1991707125
232,174214.12715288665
233,180737.44612617703
234,168747.0575797331
235,288016.2485112541
236,177659.29968724097
237,397306.04066472955
238,334608.29976442957
239,259210.3028870358
240,280984.40903447726
241,274088.58566745947
242,259513.59291008933
243,298316.7471782231
244,218799.59689893285
245,469582.3260318242
246,208435.35062172194
247,196478.47649389438
248,270608.222993165
249,200281.30745766472
250,262234.43626130023
251,275916.86217634886
252,291730.5643239606
253,221974.5689398268
254,212387.01231418207
